full_name,rank,type,abbr
ACS Chemical Health & Safety,4,CAS,
ACS Chemical Neuroscience,3,CAS,
ACS Earth and Space Chemistry,3,CAS,
ACS Energy Letters,1,CAS,
ACS Engineering Au,3,CAS,
ACS Environmental Au,2,CAS,
ACS ES&T Engineering,3,CAS,
ACS ES&T Water,3,CAS,
ACS Food Science & Technology,4,CAS,
ACS Infectious Diseases,2,CAS,
ACS Macro Letters,1,CAS,
ACS Materials Au,3,CAS,
ACS Materials Letters,2,CAS,
ACS Measurement Science Au,2,CAS,
ACS Medicinal Chemistry Letters,3,CAS,
ACS Nano,1,CAS,
ACS Nanoscience Au,3,CAS,
ACS Omega,3,CAS,
ACS Organic & Inorganic Au,3,CAS,
ACS Pharmacology & Translational Science,3,CAS,
ACS Photonics,1,CAS,
ACS Physical Chemistry Au,3,CAS,
ACS Polymers Au,2,CAS,
ACS Sensors,1,CAS,
ACS Sustainable Chemistry & Engineering,1,CAS,
ACS Synthetic Biology,2,CAS,
ACSMS HEALTH & FITNESS JOURNAL,4,CAS,
ACTA ACUSTICA,4,CAS,
ACTA ADRIATICA,4,CAS,
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,4,CAS,
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,4,CAS,
ACTA AGROBOTANICA,3,CAS,
ACTA ALIMENTARIA,4,CAS,
ACTA AMAZONICA,4,CAS,
ACTA ANAESTHESIOLOGICA BELGICA,4,CAS,
ACTA ANAESTHESIOLOGICA SCANDINAVICA,4,CAS,
Acta Analytica-International Periodical for Philosophy in the Analytical Tradition,3,CAS,
Acta Angiologica,4,CAS,
ACTA APPLICANDAE MATHEMATICAE,4,CAS,
ACTA ARCHAEOLOGICA,3,CAS,
ACTA ARITHMETICA,3,CAS,
ACTA ASTRONAUTICA,2,CAS,
ACTA ASTRONOMICA,4,CAS,
Acta Balneologica,4,CAS,
Acta Baltico-Slavica,4,CAS,
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,2,CAS,
ACTA BIOCHIMICA POLONICA,4,CAS,
Acta Bioclinica,4,CAS,
Acta Bioethica,4,CAS,
ACTA BIOLOGICA COLOMBIANA,4,CAS,
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,4,CAS,
Acta Biomaterialia,1,CAS,
ACTA BIOQUIMICA CLINICA LATINOAMERICANA,4,CAS,
ACTA BIOTHEORETICA,3,CAS,
Acta Borealia,4,CAS,
Acta Botanica Brasilica,4,CAS,
ACTA BOTANICA CROATICA,4,CAS,
Acta Botanica Mexicana,4,CAS,
Acta Brasiliensis,4,CAS,
Acta Cardiologica Sinica,4,CAS,
ACTA CARDIOLOGICA,4,CAS,
ACTA CARSOLOGICA,4,CAS,
Acta Chemica Iasi,4,CAS,
ACTA CHIMICA SINICA,2,CAS,
Acta Chimica Slovaca,4,CAS,
ACTA CHIMICA SLOVENICA,4,CAS,
ACTA CHIROPTEROLOGICA,4,CAS,
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,4,CAS,
ACTA CHIRURGICA BELGICA,4,CAS,
ACTA CHROMATOGRAPHICA,4,CAS,
Acta Cirurgica Brasileira,4,CAS,
Acta Classica,3,CAS,
ACTA CLINICA BELGICA,4,CAS,
Acta Clinica Croatica,4,CAS,
Acta Colombiana de Psicologia,4,CAS,
Acta Crystallographica A-Foundation and Advances,4,CAS,
Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials,3,CAS,
ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,4,CAS,
Acta Crystallographica Section D-Structural Biology,4,CAS,
Acta Crystallographica Section E-Crystallographic Communications,4,CAS,
Acta Crystallographica Section F-Structural Biology Communications,4,CAS,
Acta Cybernetica,4,CAS,
ACTA CYTOLOGICA,4,CAS,
ACTA DERMATO-VENEREOLOGICA,3,CAS,
Acta Dermatovenerologica Alpina Pannonica et Adriatica,4,CAS,
Acta Dermatovenerologica Croatica,4,CAS,
ACTA DIABETOLOGICA,3,CAS,
Acta Endocrinologica-Bucharest,4,CAS,
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,3,CAS,
Acta Epileptologica,4,CAS,
Acta et Commentationes Universitatis Tartuensis de Mathematica,4,CAS,
ACTA ETHOLOGICA,4,CAS,
Acta Facultatis Medicae Naissensis,4,CAS,
Acta Facultatis Xylologiae Zvolen,4,CAS,
ACTA GASTRO-ENTEROLOGICA BELGICA,4,CAS,
Acta Geochimica,3,CAS,
Acta Geodaetica et Geophysica,4,CAS,
Acta Geodynamica et Geomaterialia,4,CAS,
Acta Geographica Slovenica-Geografski Zbornik,4,CAS,
ACTA GEOLOGICA POLONICA,4,CAS,
ACTA GEOLOGICA SINICA-ENGLISH EDITION,4,CAS,
Acta Geophysica,4,CAS,
Acta Geotechnica Slovenica,4,CAS,
Acta Geotechnica,1,CAS,
Acta Germanica-German studies in Africa,4,CAS,
Acta Gymnica,4,CAS,
ACTA HAEMATOLOGICA,4,CAS,
Acta Herpetologica,4,CAS,
ACTA HISTOCHEMICA ET CYTOCHEMICA,4,CAS,
ACTA HISTOCHEMICA,3,CAS,
Acta Historica Tallinnensia,3,CAS,
Acta Historica Universitatis Klaipedensis,4,CAS,
Acta Histriae,2,CAS,
ACTA ICHTHYOLOGICA ET PISCATORIA,4,CAS,
Acta Informatica Pragensia,4,CAS,
ACTA INFORMATICA,4,CAS,
Acta Kinesiologica,4,CAS,
Acta Koreana,4,CAS,
Acta Linguistica Academica,3,CAS,
Acta Literaria,4,CAS,
Acta Logistica,4,CAS,
ACTA MATERIALIA,1,CAS,
ACTA MATHEMATICA HUNGARICA,4,CAS,
ACTA MATHEMATICA SCIENTIA,3,CAS,
ACTA MATHEMATICA SINICA-ENGLISH SERIES,4,CAS,
Acta Mathematica Universitatis Comenianae,4,CAS,
Acta Mathematica Vietnamica,4,CAS,
ACTA MATHEMATICA,1,CAS,
Acta Mathematicae Applicatae Sinica-English Series,4,CAS,
Acta Mechanica et Automatica,4,CAS,
ACTA MECHANICA SINICA,2,CAS,
ACTA MECHANICA SOLIDA SINICA,4,CAS,
ACTA MECHANICA,3,CAS,
Acta Medica Indonesiana,4,CAS,
ACTA MEDICA OKAYAMA,4,CAS,
Acta Medica Portuguesa,4,CAS,
Acta Medico-Historica Adriatica,4,CAS,
Acta Metallurgica Sinica-English Letters,2,CAS,
ACTA METALLURGICA SINICA,2,CAS,
Acta Metallurgica Slovaca,4,CAS,
ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,4,CAS,
ACTA MISSIOLOGICA,3,CAS,
Acta Montanistica Slovaca,4,CAS,
ACTA MUSICOLOGICA,1,CAS,
Acta Naturae,4,CAS,
Acta Neophilologica,3,CAS,
ACTA NEUROBIOLOGIAE EXPERIMENTALIS,4,CAS,
ACTA NEUROCHIRURGICA,3,CAS,
ACTA NEUROLOGICA BELGICA,4,CAS,
ACTA NEUROLOGICA SCANDINAVICA,3,CAS,
Acta Neuropathologica Communications,1,CAS,
ACTA NEUROPATHOLOGICA,1,CAS,
ACTA NEUROPSYCHIATRICA,4,CAS,
Acta Neuropsychologica,4,CAS,
ACTA NUMERICA,1,CAS,
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,2,CAS,
ACTA OCEANOLOGICA SINICA,2,CAS,
ACTA ODONTOLOGICA SCANDINAVICA,4,CAS,
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,4,CAS,
ACTA OECONOMICA,4,CAS,
Acta of Bioengineering and Biomechanics,4,CAS,
ACTA ONCOLOGICA,3,CAS,
ACTA OPHTHALMOLOGICA,3,CAS,
ACTA OPTICA SINICA,2,CAS,
Acta Orientalia Academiae Scientiarum Hungaricae,3,CAS,
ACTA ORNITHOLOGICA,4,CAS,
Acta Orthopaedica Belgica,4,CAS,
Acta Orthopaedica et Traumatologica Turcica,4,CAS,
Acta Orthopaedica,2,CAS,
Acta Ortopedica Brasileira,4,CAS,
Acta Oto-Laryngologica Case Reports,4,CAS,
ACTA OTO-LARYNGOLOGICA,4,CAS,
Acta Otorhinolaryngologica Italica,3,CAS,
Acta Otorrinolaringologica Espanola,4,CAS,
ACTA PAEDIATRICA,4,CAS,
ACTA PALAEONTOLOGICA POLONICA,3,CAS,
ACTA PARASITOLOGICA,3,CAS,
Acta Paulista de Enfermagem,4,CAS,
Acta Pediatrica de Mexico,4,CAS,
ACTA PETROLOGICA SINICA,2,CAS,
Acta Pharmaceutica Sinica B,1,CAS,
ACTA PHARMACEUTICA,4,CAS,
ACTA PHARMACOLOGICA SINICA,2,CAS,
Acta Philosophica,4,CAS,
Acta Phlebologica,4,CAS,
Acta Photonica Sinica,3,CAS,
ACTA PHYSICA POLONICA A,4,CAS,
ACTA PHYSICA POLONICA B,4,CAS,
ACTA PHYSICA SINICA,3,CAS,
ACTA PHYSICO-CHIMICA SINICA,2,CAS,
ACTA PHYSIOLOGIAE PLANTARUM,4,CAS,
Acta Physiologica,1,CAS,
Acta Phytotaxonomica et Geobotanica,4,CAS,
Acta Poetica,3,CAS,
Acta Politica,3,CAS,
ACTA POLONIAE HISTORICA,4,CAS,
ACTA POLONIAE PHARMACEUTICA,4,CAS,
ACTA POLYMERICA SINICA,2,CAS,
Acta Polytechnica Hungarica,4,CAS,
Acta Polytechnica,4,CAS,
ACTA PROTOZOOLOGICA,4,CAS,
ACTA PSIQUIATRICA Y PSICOLOGICA DE AMERICA LATINA,4,CAS,
ACTA PSYCHIATRICA SCANDINAVICA,2,CAS,
Acta Psychologica Sinica,2,CAS,
ACTA PSYCHOLOGICA,3,CAS,
Acta Radiologica Open,4,CAS,
ACTA RADIOLOGICA,4,CAS,
Acta Scientiae Veterinariae,4,CAS,
ACTA SCIENTIARUM MATHEMATICARUM,4,CAS,
Acta Scientiarum Polonorum-Formatio Circumiectus,4,CAS,
Acta Scientiarum Polonorum-Hortorum Cultus,4,CAS,
Acta Scientiarum Polonorum-Technologia Alimentaria,4,CAS,
ACTA SCIENTIARUM-AGRONOMY,4,CAS,
ACTA SCIENTIARUM-HEALTH SCIENCES,4,CAS,
ACTA SCIENTIARUM-TECHNOLOGY,4,CAS,
Acta Silvae et Ligni,4,CAS,
ACTA SOCIETATIS BOTANICORUM POLONIAE,4,CAS,
ACTA SOCIOLOGICA,3,CAS,
Acta Stomatologica Croatica,4,CAS,
Acta Structilia,4,CAS,
Acta Technica Napocensis Series-Applied Mathematics Mechanics and Engineering,4,CAS,
Acta Technologica Agriculturae,4,CAS,
Acta Theologica,4,CAS,
ACTA TROPICA,3,CAS,
Acta Turistica,4,CAS,
Acta Universitatis Carolinae Theologica,3,CAS,
Acta Universitatis Lodziensis Folia Litteraria Romanica,4,CAS,
Acta Universitatis Sapientiae Informatica,4,CAS,
Acta Universitatis Sapientiae-Film and Media Studies,3,CAS,
Acta Universitatis Sapientiae-Mathematica,4,CAS,
ACTA VETERINARIA BRNO,4,CAS,
Acta Veterinaria Eurasia,4,CAS,
ACTA VETERINARIA HUNGARICA,4,CAS,
ACTA VETERINARIA SCANDINAVICA,2,CAS,
ACTA VETERINARIA-BEOGRAD,4,CAS,
ACTA VIROLOGICA,4,CAS,
ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,4,CAS,
ACTA ZOOLOGICA BULGARICA,4,CAS,
ACTA ZOOLOGICA,4,CAS,
Actas Dermo-Sifiliograficas,4,CAS,
ACTAS ESPANOLAS DE PSIQUIATRIA,4,CAS,
Actas Urologicas Espanolas,4,CAS,
ACTES DE LA RECHERCHE EN SCIENCES SOCIALES,4,CAS,
Action Learning,4,CAS,
Action Research,4,CAS,
Active Learning in Higher Education,1,CAS,
Activitas Nervosa Superior Rediviva,4,CAS,
Activites-Revue Electronique,4,CAS,
Activities Adaptation & Aging,4,CAS,
Actualidad Contable Faces,4,CAS,
Actualidad Juridica Ambiental,4,CAS,
Actualidades en Psicologia,4,CAS,
Actualidades Pedagogicas,4,CAS,
Actualites Pharmaceutiques,4,CAS,
Actualizaciones en Osteologia,4,CAS,
Actuators,3,CAS,
ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH,4,CAS,
Acupuncture and Herbal Medicine,4,CAS,
Acupuncture in Medicine,4,CAS,
Acute and Critical Care,4,CAS,
Acute Medicine & Surgery,4,CAS,
Ad Hoc & Sensor Wireless Networks,4,CAS,
Ad Hoc Networks,3,CAS,
AD-minister,4,CAS,
Adalya,4,CAS,
ADANSONIA,4,CAS,
Adaptation-The Journal of Literature on Screen Studies,3,CAS,
ADAPTED PHYSICAL ACTIVITY QUARTERLY,4,CAS,
ADAPTIVE BEHAVIOR,4,CAS,
Adaptive Human Behavior and Physiology,4,CAS,
ADCAIJ-Advances in Distributed Computing and Artificial Intelligence Journal,4,CAS,
AdComunica-Revista Cientifica de Estrategias Tendencias e Innovacion en Communicacion,4,CAS,
Addicta-The Turkish Journal on Addictions,4,CAS,
ADDICTION BIOLOGY,3,CAS,
ADDICTION RESEARCH & THEORY,4,CAS,
Addiction Science & Clinical Practice,2,CAS,
ADDICTION,2,CAS,
ADDICTIVE BEHAVIORS,2,CAS,
Additive Manufacturing Letters,3,CAS,
Additive Manufacturing,1,CAS,
Adelaide Law Review,4,CAS,
Adeptus,4,CAS,
Adicciones,4,CAS,
Adipocyte,3,CAS,
ADMET and DMPK,4,CAS,
Administracao Publica e Gestao Social,4,CAS,
Administracao-Ensino e Pesquisa,4,CAS,
ADMINISTRATION & SOCIETY,3,CAS,
Administration and Policy in Mental Health and Mental Health Services Research,3,CAS,
Administration,4,CAS,
ADMINISTRATIVE SCIENCE QUARTERLY,1,CAS,
Administrative Sciences,3,CAS,
Adolescent Health Medicine and Therapeutics,4,CAS,
Adolescent Psychiatry,4,CAS,
Adolescent Research Review,2,CAS,
Adoption and Fostering,4,CAS,
Adoption Quarterly,4,CAS,
ADSORPTION SCIENCE & TECHNOLOGY,4,CAS,
ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY,4,CAS,
ADULT EDUCATION QUARTERLY,4,CAS,
Adult Learning,4,CAS,
Advanced Biology,4,CAS,
Advanced Biomedical Engineering,4,CAS,
Advanced Biomedical Research,4,CAS,
ADVANCED COMPOSITE MATERIALS,4,CAS,
Advanced Composites and Hybrid Materials,1,CAS,
ADVANCED DRUG DELIVERY REVIEWS,1,CAS,
Advanced Education,4,CAS,
Advanced Electromagnetics,4,CAS,
Advanced Electronic Materials,3,CAS,
Advanced Emergency Nursing Journal,4,CAS,
Advanced Energy and Sustainability Research,4,CAS,
Advanced Energy Materials,1,CAS,
ADVANCED ENGINEERING INFORMATICS,1,CAS,
ADVANCED ENGINEERING MATERIALS,3,CAS,
Advanced Fiber Materials,1,CAS,
ADVANCED FUNCTIONAL MATERIALS,1,CAS,
Advanced Healthcare Materials,2,CAS,
Advanced Industrial and Engineering Polymer Research,1,CAS,
Advanced Intelligent Systems,3,CAS,
Advanced Manufacturing-Polymer & Composites Science,4,CAS,
ADVANCED MATERIALS & PROCESSES,4,CAS,
Advanced Materials Interfaces,3,CAS,
Advanced Materials Technologies,3,CAS,
ADVANCED MATERIALS,1,CAS,
Advanced Modeling and Simulation in Engineering Sciences,3,CAS,
Advanced NanoBiomed Research,4,CAS,
ADVANCED NONLINEAR STUDIES,1,CAS,
Advanced Optical Materials,2,CAS,
Advanced Optical Technologies,4,CAS,
Advanced Pharmaceutical Bulletin,4,CAS,
Advanced Photonics Research,3,CAS,
Advanced Photonics,1,CAS,
Advanced Powder Materials,1,CAS,
ADVANCED POWDER TECHNOLOGY,3,CAS,
Advanced Quantum Technologies,2,CAS,
ADVANCED ROBOTICS,4,CAS,
Advanced Science,1,CAS,
Advanced Sensor and Energy Materials,4,CAS,
Advanced Steel Construction,4,CAS,
Advanced Studies-Euro-Tbilisi Mathematical Journal,4,CAS,
Advanced Sustainable Systems,3,CAS,
ADVANCED SYNTHESIS & CATALYSIS,2,CAS,
Advanced Theory and Simulations,3,CAS,
Advanced Therapeutics,4,CAS,
Advancements in Life Sciences,4,CAS,
Advancements of Microbiology,4,CAS,
Advances and Applications in Discrete Mathematics,4,CAS,
Advances and Applications in Statistics,4,CAS,
Advances in Accounting,4,CAS,
Advances in Aerodynamics,2,CAS,
Advances in Agriculture,4,CAS,
Advances in Aircraft and Spacecraft Science,4,CAS,
ADVANCES IN ANATOMIC PATHOLOGY,2,CAS,
Advances in Applied Ceramics,4,CAS,
Advances in Applied Clifford Algebras,4,CAS,
Advances in Applied Energy,1,CAS,
Advances in Applied Mathematics and Mechanics,4,CAS,
ADVANCES IN APPLIED MATHEMATICS,3,CAS,
ADVANCES IN APPLIED PROBABILITY,3,CAS,
Advances in Archaeological Practice,1,CAS,
Advances in Astronomy and Space Physics,4,CAS,
Advances in Astronomy,3,CAS,
ADVANCES IN ATMOSPHERIC SCIENCES,1,CAS,
Advances in Autism,4,CAS,
Advances in Building Energy Research,4,CAS,
Advances in Calculus of Variations,3,CAS,
Advances in Cancer Biology-Metastasis,4,CAS,
ADVANCES IN CEMENT RESEARCH,4,CAS,
Advances in Civil and Architectural Engineering,4,CAS,
Advances in Civil Engineering Materials,4,CAS,
Advances in Civil Engineering,4,CAS,
Advances in Climate Change Research,1,CAS,
Advances in Clinical and Experimental Medicine,4,CAS,
Advances in Cognitive Psychology,4,CAS,
ADVANCES IN COLLOID AND INTERFACE SCIENCE,1,CAS,
ADVANCES IN COMPLEX SYSTEMS,4,CAS,
"Advances in Computational Design, An International Journal",4,CAS,
ADVANCES IN COMPUTATIONAL MATHEMATICS,3,CAS,
Advances in Concrete Construction,4,CAS,
Advances in Condensed Matter Physics,4,CAS,
Advances in Continuous and Discrete Models,2,CAS,
Advances in Data Analysis and Classification,4,CAS,
Advances in Data Science and Adaptive Analysis,4,CAS,
Advances in Developing Human Resources,3,CAS,
Advances in Differential Equations and Control Processes,4,CAS,
Advances in Differential Equations,2,CAS,
Advances in Digestive Medicine,4,CAS,
Advances in Dual Diagnosis,4,CAS,
Advances in Electrical and Computer Engineering,4,CAS,
Advances in Electrical and Electronic Engineering,4,CAS,
Advances in Energy Research,4,CAS,
ADVANCES IN ENGINEERING SOFTWARE,3,CAS,
Advances in Environmental Research-An International Journal,4,CAS,
Advances in Fuzzy Systems,4,CAS,
Advances in Geo-Energy Research,1,CAS,
Advances in Geodesy and Geoinformation,4,CAS,
ADVANCES IN GEOMETRY,4,CAS,
Advances in Gerontology,4,CAS,
Advances in Group Theory and Applications,4,CAS,
ADVANCES IN HEALTH SCIENCES EDUCATION,2,CAS,
Advances in High Energy Physics,4,CAS,
Advances in Hospitality and Tourism Research-AHTR,4,CAS,
Advances in Human Biology,4,CAS,
Advances in Human-Computer Interaction,4,CAS,
Advances in Industrial and Manufacturing Engineering,3,CAS,
Advances in Integrative Medicine,4,CAS,
Advances in Kidney Disease and Health,4,CAS,
Advances in Laboratory Medicine-Avances en Medicina de Laboratorio,4,CAS,
Advances in Life Course Research,2,CAS,
Advances in Manufacturing,3,CAS,
Advances in Materials and Processing Technologies,4,CAS,
Advances in Materials Research-An International Journal,4,CAS,
Advances in Materials Science,4,CAS,
Advances in Mathematical Physics,4,CAS,
Advances in Mathematics of Communications,4,CAS,
ADVANCES IN MATHEMATICS,1,CAS,
Advances in Mechanical Engineering,4,CAS,
Advances in Medical Education and Practice,4,CAS,
Advances in Medical Sciences,4,CAS,
Advances in Mental Health and Intellectual Disabilities,4,CAS,
Advances in Mental Health,4,CAS,
Advances in Meteorology,4,CAS,
Advances in Methods and Practices in Psychological Science,1,CAS,
Advances in Multimedia,4,CAS,
Advances in Nano Research,4,CAS,
Advances in Natural Sciences-Nanoscience and Nanotechnology,4,CAS,
Advances in Neonatal Care,4,CAS,
Advances in Neurodevelopmental Disorders,4,CAS,
Advances in Nonlinear Analysis,1,CAS,
ADVANCES IN NURSING SCIENCE,4,CAS,
Advances in Nutrition,2,CAS,
Advances in Operator Theory,4,CAS,
Advances in Optics and Photonics,1,CAS,
Advances in Orthopedics,4,CAS,
Advances in Pharmacological and Pharmaceutical Sciences,4,CAS,
Advances in Pharmacology and Pharmacy,4,CAS,
Advances in Physics-X,2,CAS,
ADVANCES IN PHYSICS,1,CAS,
ADVANCES IN PHYSIOLOGY EDUCATION,4,CAS,
ADVANCES IN POLYMER TECHNOLOGY,4,CAS,
Advances in Production Engineering & Management,3,CAS,
Advances in Public Health,4,CAS,
Advances in Pure and Applied Mathematics,4,CAS,
Advances in Radiation Oncology,4,CAS,
Advances in Radio Science,4,CAS,
Advances in Rehabilitation Science and Practice,4,CAS,
Advances in Respiratory Medicine,4,CAS,
Advances in Rheumatology,4,CAS,
Advances in Sample Preparation,2,CAS,
Advances in Science and Technology-Research Journal,4,CAS,
Advances in Simulation,3,CAS,
Advances in Skin & Wound Care,4,CAS,
